participant_id,queries,rank_1,rank_5
P01,56,0.125,0.4642857142857143
P02,56,0.017857142857142856,0.21428571428571427
P03,56,0.07142857142857142,0.32142857142857145
P04,56,0.2857142857142857,0.5178571428571429
P05,56,0.08928571428571429,0.35714285714285715
P06,56,0.10714285714285714,0.26785714285714285
P07,56,0.10714285714285714,0.2857142857142857
P08,56,0.19642857142857142,0.44642857142857145
P09,56,0.03571428571428571,0.2857142857142857
P10,56,0.17857142857142858,0.5714285714285714
P11,56,0.23214285714285715,0.6607142857142857
P12,56,0.10714285714285714,0.4107142857142857
P13,56,0.25,0.625
P14,56,0.17857142857142858,0.44642857142857145
P15,56,0.23214285714285715,0.5357142857142857
P16,56,0.017857142857142856,0.14285714285714285
P17,56,0.23214285714285715,0.7321428571428571
P18,56,0.017857142857142856,0.10714285714285714
P19,56,0.16071428571428573,0.42857142857142855
P20,56,0.07142857142857142,0.2857142857142857
P21,56,0.125,0.375
P22,56,0.375,0.7321428571428571
P23,56,0.21428571428571427,0.4642857142857143
P24,56,0.017857142857142856,0.26785714285714285
P25,56,0.14285714285714285,0.3392857142857143
P26,56,0.10714285714285714,0.3392857142857143
P27,56,0.14285714285714285,0.3392857142857143
