night_key,source_path,split,subject_id
01:20231104,dataset/data/01/BCG/01_20231104_BCG.csv,train,01
01:20231105,dataset/data/01/BCG/01_20231105_BCG.csv,train,01
01:20231106,dataset/data/01/BCG/01_20231106_BCG.csv,train,01
01:20231107,dataset/data/01/BCG/01_20231107_BCG.csv,val,01
01:20231108,dataset/data/01/BCG/01_20231108_BCG.csv,val,01
01:20231109,dataset/data/01/BCG/01_20231109_BCG.csv,test,01
02:20231103,dataset/data/02/BCG/02_20231103_BCG.csv,train,02
02:20231104,dataset/data/02/BCG/02_20231104_BCG.csv,train,02
02:20231105,dataset/data/02/BCG/02_20231105_BCG.csv,train,02
02:20231106,dataset/data/02/BCG/02_20231106_BCG.csv,val,02
02:20231107,dataset/data/02/BCG/02_20231107_BCG.csv,val,02
02:20231108,dataset/data/02/BCG/02_20231108_BCG.csv,test,02
02:20231109,dataset/data/02/BCG/02_20231109_BCG.csv,test,02
03:20231103,dataset/data/03/BCG/03_20231103_BCG.csv,train,03
03:20231105,dataset/data/03/BCG/03_20231105_BCG.csv,train,03
03:20231106,dataset/data/03/BCG/03_20231106_BCG.csv,train,03
03:20231107,dataset/data/03/BCG/03_20231107_BCG.csv,val,03
03:20231108,dataset/data/03/BCG/03_20231108_BCG.csv,val,03
03:20231109,dataset/data/03/BCG/03_20231109_BCG.csv,test,03
04:20231103,dataset/data/04/BCG/04_20231103_BCG.csv,train,04
04:20231104,dataset/data/04/BCG/04_20231104_BCG.csv,train,04
04:20231105,dataset/data/04/BCG/04_20231105_BCG.csv,train,04
04:20231106,dataset/data/04/BCG/04_20231106_BCG.csv,val,04
04:20231107,dataset/data/04/BCG/04_20231107_BCG.csv,val,04
04:20231108,dataset/data/04/BCG/04_20231108_BCG.csv,test,04
04:20231109,dataset/data/04/BCG/04_20231109_BCG.csv,test,04
05:20231103,dataset/data/05/BCG/05_20231103_BCG.csv,train,05
05:20231104,dataset/data/05/BCG/05_20231104_BCG.csv,train,05
05:20231105,dataset/data/05/BCG/05_20231105_BCG.csv,train,05
05:20231106,dataset/data/05/BCG/05_20231106_BCG.csv,val,05
05:20231107,dataset/data/05/BCG/05_20231107_BCG.csv,val,05
05:20231108,dataset/data/05/BCG/05_20231108_BCG.csv,test,05
05:20231109,dataset/data/05/BCG/05_20231109_BCG.csv,test,05
06:20231110,dataset/data/06/BCG/06_20231110_BCG.csv,train,06
06:20231111,dataset/data/06/BCG/06_20231111_BCG.csv,train,06
06:20231112,dataset/data/06/BCG/06_20231112_BCG.csv,train,06
06:20231113,dataset/data/06/BCG/06_20231113_BCG.csv,val,06
06:20231115,dataset/data/06/BCG/06_20231115_BCG.csv,val,06
06:20231116,dataset/data/06/BCG/06_20231116_BCG.csv,test,06
07:20231111,dataset/data/07/BCG/07_20231111_BCG.csv,train,07
07:20231112,dataset/data/07/BCG/07_20231112_BCG.csv,train,07
07:20231113,dataset/data/07/BCG/07_20231113_BCG.csv,train,07
07:20231114,dataset/data/07/BCG/07_20231114_BCG.csv,val,07
07:20231115,dataset/data/07/BCG/07_20231115_BCG.csv,val,07
07:20231116,dataset/data/07/BCG/07_20231116_BCG.csv,test,07
08:20231110,dataset/data/08/BCG/08_20231110_BCG.csv,train,08
08:20231111,dataset/data/08/BCG/08_20231111_BCG.csv,train,08
08:20231112,dataset/data/08/BCG/08_20231112_BCG.csv,train,08
08:20231113,dataset/data/08/BCG/08_20231113_BCG.csv,val,08
08:20231114,dataset/data/08/BCG/08_20231114_BCG.csv,val,08
08:20231115,dataset/data/08/BCG/08_20231115_BCG.csv,test,08
08:20231116,dataset/data/08/BCG/08_20231116_BCG.csv,test,08
09:20231110,dataset/data/09/BCG/09_20231110_BCG.csv,train,09
09:20231111,dataset/data/09/BCG/09_20231111_BCG.csv,train,09
09:20231112,dataset/data/09/BCG/09_20231112_BCG.csv,train,09
09:20231113,dataset/data/09/BCG/09_20231113_BCG.csv,val,09
09:20231114,dataset/data/09/BCG/09_20231114_BCG.csv,val,09
09:20231115,dataset/data/09/BCG/09_20231115_BCG.csv,test,09
09:20231116,dataset/data/09/BCG/09_20231116_BCG.csv,test,09
10:20231110,dataset/data/10/BCG/10_20231110_BCG.csv,train,10
10:20231111,dataset/data/10/BCG/10_20231111_BCG.csv,train,10
10:20231112,dataset/data/10/BCG/10_20231112_BCG.csv,train,10
10:20231113,dataset/data/10/BCG/10_20231113_BCG.csv,val,10
10:20231114,dataset/data/10/BCG/10_20231114_BCG.csv,val,10
10:20231115,dataset/data/10/BCG/10_20231115_BCG.csv,test,10
